ride_id,pickup_lat,pickup_lng,drop_lat,drop_lng,distance_km,hour_of_day,is_peak_hour,day_of_week,solo_fare,cluster_size,shared_fare,rider_rating,driver_rating
ride_24,19.062067227902187,72.88319671738638,19.16458063661458,72.96656586682208,14.38,20,1,3,37.45,3,26.22,4.0,4.0
ride_25,19.118394165433525,72.97211501575948,19.224031526959248,73.07440988359491,15.92,0,0,3,25.03,4,13.77,4.9,4.9
ride_26,19.106296416142534,72.94981108553975,19.202195724781276,73.05295893706399,15.2,5,0,4,25.64,4,14.1,4.5,4.2
ride_27,19.1647626224533,72.85986688843991,19.18551475157975,72.79573722808323,7.12,8,1,6,19.46,1,19.46,4.6,4.7
ride_28,18.96575708410651,72.9572958934471,18.90269252045844,73.03957031831962,11.14,17,1,5,27.09,2,23.03,4.8,4.7
ride_29,18.95950423890326,72.79966673886632,18.850868833209166,72.84540952320029,13.0,18,1,3,34.4,2,29.24,3.9,4.4
ride_30,18.97702838312117,72.98384266282866,18.880243677400355,72.91830844273821,12.78,21,0,3,22.25,2,18.91,4.8,4.6
ride_31,19.223571618635088,72.80098784640718,19.13640471995661,72.7498811551409,11.08,14,0,0,16.8,2,14.28,4.7,4.3
ride_32,19.19624616772461,72.93222968405294,19.241660826522477,72.90562088612113,5.77,21,0,2,11.28,1,11.28,3.9,4.5
ride_33,18.949915889652175,72.9724061184588,18.873027603652822,72.93037774442229,9.63,16,0,4,15.18,1,15.18,4.1,4.8
ride_34,19.18652668484709,72.9370032131403,19.14706010941675,72.98483668780122,6.67,5,0,1,11.49,1,11.49,4.9,4.8
ride_35,18.99795064167998,72.86156071176313,19.05512005141044,72.93658710568198,10.13,3,0,2,18.18,4,10.0,4.1,4.9
ride_36,19.161976078825813,72.75798178945827,19.13343692549844,72.72405309693839,4.77,22,0,6,8.32,2,7.07,3.8,4.5
ride_37,19.151557121606473,72.87452594706284,19.26295497716509,72.89640710232723,12.6,4,0,1,22.8,3,15.96,4.2,4.0
ride_38,19.070257476904615,72.95438922607124,19.013030474724093,72.9019164400855,8.42,15,0,4,13.7,1,13.7,3.9,4.4
ride_39,19.007694549203283,73.02668548113843,18.912454666099475,72.96894009644421,12.21,7,0,0,19.5,1,19.5,3.9,4.4
ride_40,19.189963506308835,73.0047676322361,19.1150237490334,73.07337213035754,11.02,0,0,1,18.59,3,13.01,4.2,4.9
ride_41,19.126506109298678,72.92750407027059,19.027772518292313,72.883016347555,11.93,0,0,0,18.36,1,18.36,4.5,4.7
ride_42,19.192222109518678,72.76556331340022,19.235703270456888,72.65737061983532,12.35,4,0,5,18.52,2,15.74,4.0,5.0
ride_43,19.086129883825137,73.0192757661897,19.052061212493836,73.12758041206554,12.0,9,1,2,28.69,2,24.38,4.3,4.1
ride_44,19.18711865682987,72.86390305625946,19.24284668900589,72.74634013359888,13.81,11,0,6,22.09,4,12.15,3.6,4.7
ride_45,19.15559197197696,72.90199054489985,19.081135557860602,72.80862461589838,12.84,4,0,1,20.87,1,20.87,3.8,4.7
ride_46,19.101961714213786,72.95672676268792,19.08154493216625,73.01974713729994,7.0,20,1,5,19.4,2,16.49,3.7,4.8
ride_47,19.10572478149653,72.91445954552606,19.020413484925125,72.82114844245058,13.64,2,0,6,23.79,1,23.79,3.8,4.8
ride_48,19.039620678424903,72.75391599079465,18.961364159537144,72.6635677012112,12.88,5,0,3,19.99,1,19.99,4.6,4.4
ride_49,19.086523248074517,72.91047660989838,19.03461379772358,72.95750359077745,7.6,7,0,2,13.42,1,13.42,4.2,4.6
ride_50,18.981445333271797,72.90298992448088,19.067044191963507,73.0021436239583,14.12,3,0,3,21.37,4,11.75,4.4,4.5
ride_51,19.044680046537533,72.94869368769848,19.075615456378525,72.8872309395893,7.32,10,1,4,20.05,4,11.03,4.1,4.2
ride_52,18.983751231506783,72.98932026574421,18.9119731685031,73.09550519344144,13.73,5,0,5,20.56,1,20.56,3.6,4.9
ride_53,19.11048406855971,72.79666418794767,19.22333318182779,72.91452497247583,17.63,7,0,0,28.02,1,28.02,3.5,4.8
ride_54,18.97232474543698,72.75847265225165,18.90067875140114,72.68460183986022,11.13,8,1,6,25.71,1,25.71,3.7,4.7
ride_55,19.005866601502404,72.81706739715094,18.98093690004715,72.93132158890448,12.33,15,0,1,21.68,1,21.68,4.2,4.3
ride_56,19.081909762560393,72.85263954358466,18.970914719333692,72.90581107326105,13.55,7,0,3,20.45,1,20.45,3.7,4.9
ride_57,19.11954794274732,72.93405123282803,19.162781834316107,73.00602162188162,8.96,2,0,2,14.46,2,12.29,4.5,4.7
ride_58,19.035986163139555,72.92468684841786,19.1200346132018,72.96750935227638,10.37,9,1,5,25.58,2,21.74,3.7,4.1
ride_59,19.026823091255732,72.87268546189809,18.990081949935067,72.95564185009665,9.63,12,0,1,15.26,2,12.97,4.2,4.4
ride_60,19.02707688936269,72.73249677555803,18.98211762524106,72.6816011846699,7.32,14,0,4,14.2,1,14.2,3.7,4.2
ride_61,19.119842443181575,72.94602227053856,19.156061102333794,72.8694570594505,9.0,16,0,4,16.11,2,13.7,4.3,4.3
ride_62,19.208640846816078,72.8886207236378,19.262885152834585,72.93208868140798,7.56,1,0,4,12.08,2,10.27,4.5,4.3
ride_63,19.083676299617537,72.99107805811721,19.06078932369666,72.94817884827152,5.18,14,0,0,9.01,3,6.31,3.6,4.8
ride_64,19.034603893997595,72.94625886065936,18.915551960722176,72.86158940459703,15.95,17,1,3,38.5,1,38.5,4.6,4.6
ride_65,19.212925404264926,72.84909011913209,19.108656749912132,72.75445372698624,15.27,18,1,4,37.9,4,20.84,4.3,4.6
ride_66,19.193149355382314,72.82482669557785,19.24085454337635,72.72272313322111,11.96,12,0,1,17.99,3,12.59,3.5,4.9
ride_67,18.941106661707416,72.85489917019318,19.056884102966123,72.95345726413429,16.53,6,0,1,25.81,1,25.81,4.7,4.5
ride_68,19.213678255055438,72.78217560185583,19.156056897149806,72.86771152489739,11.03,5,0,0,19.79,3,13.85,4.5,4.5
ride_69,19.02326684712644,72.93348663854341,18.924734392822128,72.96942905565145,11.59,10,1,5,27.92,1,27.92,4.6,4.3
ride_70,19.012449129398853,72.91625725985571,19.07725891628468,72.98242394422044,10.02,15,0,1,17.39,3,12.17,4.8,4.1
ride_71,19.12414752623546,72.87348253088547,19.069379589732886,72.91969293830641,7.79,22,0,5,12.78,2,10.87,4.5,4.1
ride_72,19.014266366937214,72.77773401426529,18.90118007915963,72.86125835087121,15.34,13,0,5,23.04,1,23.04,4.1,4.5
ride_73,18.962355218130188,72.95953478156792,18.992130355601315,72.98868936469245,4.51,4,0,6,8.46,1,8.46,3.8,4.7
ride_74,18.9383748536352,72.82816346661345,18.857549821560905,72.87407895680357,10.2,2,0,4,16.01,2,13.61,4.6,4.7
ride_75,19.14157195571817,72.82883797800648,19.02963646976481,72.85377606496135,12.72,3,0,1,19.05,4,10.48,4.4,4.2
ride_76,19.181271832890094,72.88132180473717,19.22607074526547,72.9083332665157,5.73,19,1,0,14.35,2,12.2,3.9,4.4
ride_77,18.996630518528175,72.83078836324992,18.89097804632408,72.72450485884528,16.22,12,0,1,25.56,1,25.56,3.8,4.9
ride_78,19.042311415885344,72.73221070282376,19.12789579076909,72.63876515517431,13.67,19,1,6,33.74,3,23.62,4.4,4.2
ride_79,19.150971420917003,72.9176244695541,19.04085173841898,72.96884204185541,13.38,18,1,2,35.12,2,29.85,4.1,4.8
ride_80,19.150054704501738,72.91354600121802,19.267023502122964,72.88993598938026,13.24,17,1,3,34.37,2,29.21,4.9,4.8
ride_81,19.22207775292784,72.98316379651922,19.33137473804679,73.09355015106229,16.79,21,0,5,28.94,2,24.6,4.4,4.2
ride_82,18.93470798103274,72.97428225367472,18.882997238502714,73.09189186710913,13.64,4,0,1,22.55,2,19.16,4.6,4.4
ride_83,19.191123916459073,72.95932663445434,19.216196710681622,73.05241943110958,10.17,16,0,5,17.13,1,17.13,3.7,4.0
ride_84,19.153350601137564,72.84225558709609,19.130667203456515,72.90466994349087,7.02,9,1,4,20.25,1,20.25,4.9,4.7
ride_85,19.13268116278211,72.86029655682222,19.087405404639245,72.89006602613293,5.93,3,0,0,10.17,1,10.17,4.5,4.6
ride_86,19.159748834942498,73.00288045613279,19.202188251249865,73.02294687145805,5.17,23,0,5,9.59,1,9.59,3.8,4.4
ride_87,19.02365804209117,72.86986238634175,18.909430375985142,72.95575439298418,15.59,22,0,6,27.21,1,27.21,3.8,4.9
ride_88,19.135503903470006,73.00341581339713,19.029769535583203,73.0574481542578,13.06,19,1,2,33.85,4,18.62,4.8,4.2
ride_89,19.112876914421502,72.81974730567245,19.037977253296745,72.78398966340805,9.14,22,0,1,16.55,1,16.55,4.4,4.7
ride_90,18.977453031198433,72.89294570409263,18.89186834462874,72.79989308320573,13.65,2,0,5,21.31,3,14.92,4.4,4.1
ride_91,19.220754023411075,72.74127666629786,19.29791365265384,72.78562854354703,9.76,4,0,6,16.27,1,16.27,4.9,4.2
ride_92,19.2008182014893,72.92478176285783,19.09692294015658,72.97720688160872,12.8,8,1,1,31.11,2,26.44,4.9,4.4
ride_93,19.08758605785146,72.90201787749578,19.028366788619504,72.79351986252466,13.17,12,0,2,20.64,2,17.55,4.3,4.2
ride_94,19.1588084737704,72.74989513765321,19.269549593874128,72.8181280008856,14.25,22,0,0,21.91,1,21.91,4.7,4.7
ride_95,19.115202696409053,73.01062606078575,19.012056419734723,72.89892922970812,16.41,21,0,6,26.32,4,14.48,3.7,4.9
ride_96,19.087866480580818,72.76943764322641,19.19411407336776,72.84113005325382,14.01,6,0,4,24.88,2,21.15,4.3,4.2
ride_97,19.168313125605074,72.99425779035684,19.259420979439557,72.88653239412983,15.18,11,0,5,25.86,1,25.86,4.0,4.1
ride_98,19.17461610670331,72.86304540848,19.06513825339311,72.94721530697073,15.05,9,1,4,36.87,2,31.34,3.9,4.9
ride_99,19.162177588268804,72.76618600705048,19.0704870916321,72.84316144366537,13.01,9,1,4,31.09,3,21.77,3.8,4.1
ride_100,19.0503685720063,72.83540761247905,19.100644171156862,72.8925006064225,8.2,2,0,1,15.17,1,15.17,4.0,4.6
ride_101,19.13693762807504,72.78758121858502,19.18246490434469,72.83819211750252,7.34,3,0,0,12.83,1,12.83,4.4,4.3
ride_102,19.129288297390623,72.75935744491993,19.17802705719645,72.6593777270157,11.82,14,0,2,18.1,2,15.38,4.9,4.3
ride_103,19.11774217966886,72.78752408301727,19.031344142554964,72.74963474057694,10.4,6,0,5,16.44,1,16.44,5.0,4.1
ride_104,19.03931434041724,72.90854804553703,19.015664555866277,72.82000649090891,9.67,18,1,0,23.24,1,23.24,4.1,4.7
ride_105,19.170353843195247,73.01855001064561,19.069833454690592,73.04191488996493,11.44,16,0,5,19.16,1,19.16,3.9,4.4
ride_106,19.106136103161887,72.8678854659479,19.073743090887003,72.93970329089,8.36,1,0,6,14.87,1,14.87,4.9,4.6
ride_107,19.150253694281588,72.7838624793297,19.253470868186085,72.730775984423,12.76,21,0,0,20.33,3,14.23,5.0,4.2
ride_108,19.078634872052763,73.0171881621233,19.104166655441627,73.08268828812095,7.45,0,0,4,14.26,3,9.98,3.9,4.3
ride_109,19.090847965079178,72.82383151488635,19.131017337962756,72.9096832038229,10.07,20,1,6,27.78,2,23.62,4.5,4.1
ride_110,19.029483727903752,72.87703676441586,19.105115875164802,72.78685956737137,12.67,4,0,1,21.09,1,21.09,4.4,4.3
ride_111,18.937258471737472,72.94464074167303,18.838296983197694,72.87393964630017,13.28,3,0,5,22.83,2,19.41,4.5,4.5
ride_112,19.13133578126171,72.82782047143665,19.17596993034424,72.9075510370243,9.74,13,0,5,15.59,1,15.59,4.2,4.8
ride_113,18.98814845575999,72.96742591599781,18.91241025094671,73.08067684188397,14.59,0,0,3,23.41,1,23.41,4.6,4.2
ride_114,18.95499253327716,72.9868110276732,19.064221113423912,73.05898376638804,14.32,18,1,6,37.28,2,31.68,5.0,4.7
ride_115,19.173963547362792,72.76161384391406,19.269494977895796,72.85293998446646,14.31,6,0,6,22.4,3,15.68,4.5,4.6
ride_116,18.96841572524834,72.98475624036197,18.93193001300935,73.06320581601535,9.19,2,0,4,15.17,2,12.89,3.7,4.9
ride_117,19.14807985781677,72.78881416074633,19.25640612614239,72.692378343144,15.74,10,1,3,40.45,2,34.38,3.7,4.8
ride_118,19.201575032232615,72.94500003560417,19.14495488761132,73.0278547742662,10.74,3,0,6,17.15,1,17.15,4.6,4.4
ride_119,19.027856090004235,72.87614701993962,18.992050313284203,72.8159714127707,7.47,18,1,6,21.06,1,21.06,4.9,4.2
ride_120,19.039427857093,72.73892805390557,19.087263428293042,72.7971393197882,8.11,11,0,2,14.89,1,14.89,4.0,4.1
ride_121,18.977389834069424,72.81608113233766,18.89359375300086,72.71176802397572,14.39,9,1,3,38.21,3,26.75,3.7,4.5
ride_122,18.97812227684636,73.00223167903378,19.080148127705645,72.89584089784498,15.93,23,0,6,27.42,4,15.08,3.6,4.8
ride_123,19.077525101712833,73.01553875681486,19.15414718204644,72.92700229582789,12.61,19,1,4,28.88,2,24.55,4.7,5.0
ride_124,18.999220818553916,72.89261281271689,19.05082524594243,72.918005049566,6.33,16,0,6,11.02,1,11.02,3.9,4.4
ride_125,19.135652791919238,72.77364938952063,19.110106360370352,72.86684616013046,10.19,21,0,5,17.83,2,15.16,4.8,4.1
ride_126,19.216205756456173,73.02525951528064,19.301095651371643,72.97728083134663,10.7,4,0,6,18.45,2,15.68,3.7,4.5
ride_127,19.171505255324885,73.01739058500706,19.150472102561757,72.95995254811503,6.47,2,0,3,12.55,2,10.67,4.1,4.2
ride_128,18.96244279065366,72.88154306990214,19.069694979766105,72.94252233620735,13.54,5,0,6,22.13,1,22.13,4.6,4.1
ride_129,19.114417903993104,72.85886071516356,19.08693511319016,72.77088901971257,9.74,18,1,2,25.67,2,21.82,3.8,4.7
ride_130,19.066676767935903,72.8061165910022,19.043202023306673,72.76240373981877,5.28,5,0,1,10.08,1,10.08,4.6,4.5
ride_131,18.97405527784542,72.74636664787094,18.88572851752976,72.86286239818274,15.7,5,0,4,25.1,2,21.34,4.3,4.6
ride_132,19.09371783044104,72.80320102070047,19.124514792813187,72.75004521960075,6.55,3,0,4,11.78,1,11.78,4.2,4.2
ride_133,19.07551813519626,72.90770024862272,19.152474006231145,72.80301669744131,13.94,9,1,5,32.7,2,27.8,3.6,4.4
ride_134,18.93302447851985,72.97871713788406,18.996565529684947,72.9013112479664,10.78,20,1,0,28.21,3,19.74,4.2,4.4
ride_135,19.14963942014303,72.80601505051521,19.212235852009805,72.83183548016157,7.47,11,0,0,12.81,2,10.89,3.9,4.4
ride_136,19.050237590984747,72.98698437811194,19.089526424935165,72.87811375907975,12.25,14,0,6,19.45,2,16.53,4.5,4.7
ride_137,19.05219088144717,72.95752517542188,18.999214624857434,73.04217023788294,10.67,10,1,2,28.89,4,15.89,3.6,4.1
ride_138,19.090659610637886,72.76490795023419,19.205305191983967,72.68460415521469,15.29,10,1,6,40.75,1,40.75,4.7,4.9
ride_139,19.139650920076164,72.98889143985687,19.03701864814471,73.09679627495049,16.09,23,0,2,25.63,4,14.1,4.6,4.7
ride_140,18.970712086940114,72.95824080306039,19.03231754000029,73.02165974116562,9.56,14,0,4,17.93,2,15.24,4.6,4.7
ride_141,19.106395025401124,72.80268652734937,19.14505511178196,72.7444152641787,7.48,22,0,5,12.27,2,10.43,3.8,4.4
ride_142,19.071092323248212,72.74028279210843,19.113953527533848,72.70152560731962,6.27,10,1,0,17.97,2,15.27,4.6,4.0
ride_143,19.049983213076807,72.7422573926808,19.168308589704957,72.83555188510446,16.41,22,0,0,28.3,4,15.57,4.5,4.9
ride_144,19.22016819155173,73.02372685202438,19.250925463065176,72.92815332317458,10.6,14,0,2,16.13,1,16.13,4.4,4.3
ride_145,19.147497079289465,73.00822596812765,19.051860687283458,72.89777050924307,15.74,5,0,5,27.8,3,19.46,3.9,5.0
ride_146,19.125327755707925,72.89554632121384,19.013509360715396,72.97952629752847,15.25,18,1,6,39.69,1,39.69,3.8,4.2
ride_147,18.927288144109788,73.00184023803466,18.983625991139295,72.91571655587528,11.01,23,0,5,19.06,1,19.06,4.3,4.9
ride_148,19.1478327127132,72.74077550717485,19.094507438577832,72.80378408757544,8.89,5,0,0,14.59,1,14.59,4.4,4.2
ride_149,19.21546636920599,72.77926260075574,19.13428242395222,72.84739803910956,11.52,12,0,6,20.96,1,20.96,3.9,4.6
ride_150,19.11358786384135,72.77569091023622,19.147572668638972,72.75108613879569,4.58,21,0,3,8.06,1,8.06,4.0,4.3
ride_151,19.082042663940637,72.78986394795793,19.19963273768337,72.67902571544055,17.51,9,1,0,40.73,2,34.62,4.3,4.3
ride_152,18.943019803178927,72.74992540098808,19.036777158248185,72.79857749103277,11.61,16,0,6,19.32,1,19.32,4.4,4.3
ride_153,19.19167831729709,72.740425851192,19.215544859236527,72.6613141352668,8.72,11,0,2,13.65,3,9.56,3.9,4.6
ride_154,19.061114942477438,72.86421157806643,19.166311849675843,72.90230637088688,12.36,18,1,4,32.67,1,32.67,4.3,4.1
ride_155,19.02328896639445,72.83181947788235,19.095538761613966,72.85597622693116,8.43,20,1,2,21.32,1,21.32,4.4,4.4
ride_156,18.948963390211095,72.7682980741507,19.042559440863165,72.84124987702516,12.93,5,0,3,23.28,1,23.28,4.8,4.1
ride_157,19.069378531669578,72.97773745861748,19.109254607984102,72.86061194671375,13.08,9,1,0,31.75,2,26.99,4.4,4.2
ride_158,18.994347135878428,72.87908878021837,18.902411882065106,72.95594502959706,13.03,0,0,0,23.49,2,19.97,3.9,4.3
ride_159,18.998288090823667,73.01572297513634,18.893372819071846,73.11292589302494,15.51,19,1,0,39.16,2,33.28,4.8,4.5
ride_160,18.942870361185822,72.800253941324,18.893119898307457,72.87261444098837,9.41,4,0,3,16.33,2,13.88,4.0,4.8
ride_161,18.9349894586663,72.90658485090641,18.98957589929063,72.8399335742018,9.27,2,0,6,15.72,2,13.36,3.7,4.5
ride_162,19.11450540604257,72.76840567987395,19.078294119401125,72.7963600100706,4.98,5,0,0,9.72,3,6.8,4.1,4.6
ride_163,19.10269702383595,72.96085830450238,19.15825218880254,72.84878582656636,13.3,4,0,1,19.82,2,16.84,4.5,4.5
ride_164,19.052334094902704,72.82339903867852,19.159886709897656,72.86290715110309,12.66,10,1,6,28.46,1,28.46,3.9,4.6
ride_165,18.94580536857703,72.97688601277653,19.005036050507567,73.01488612630706,7.7,12,0,1,14.24,2,12.1,4.9,4.4
ride_166,19.17836081247912,72.77140102629207,19.125287875329416,72.66994832826752,12.18,3,0,1,20.1,1,20.1,4.6,4.2
ride_167,19.21253281207787,72.9587788564202,19.26665213787507,72.91525913230271,7.56,14,0,2,13.67,1,13.67,3.8,4.4
ride_168,18.939968027204394,72.8879416401334,19.05226877898937,72.80677435520316,15.12,4,0,2,22.82,1,22.82,4.5,4.5
ride_169,18.944982205689474,72.74153741044879,19.04635867901634,72.67260679879114,13.4,4,0,6,23.7,1,23.7,4.2,4.5
ride_170,19.112490251108223,72.80190355181416,19.140698167490385,72.73402246138643,7.79,23,0,2,12.55,2,10.67,3.9,4.2
ride_171,19.158971039783008,72.84591719954358,19.217446564541213,72.9140201925193,9.67,0,0,0,17.15,2,14.58,4.2,4.6
ride_172,18.98361160137668,72.94169892686084,19.093986615543326,72.97962827966106,12.9,1,0,5,20.7,4,11.39,3.7,4.9
ride_173,18.93384720438074,72.87589419242961,18.87359608633543,72.99091246460605,13.83,4,0,3,22.18,2,18.85,3.7,4.3
ride_174,19.041907647598993,72.92934067907471,19.125982979656666,72.89625851685592,9.97,18,1,3,25.41,1,25.41,5.0,4.0
ride_175,19.12581110083099,72.85192562286517,19.07574104231291,72.89372876476371,7.09,17,1,0,17.45,1,17.45,4.2,4.7
ride_176,19.21127257597423,72.98506910487657,19.3105837127063,72.86969404511063,16.39,1,0,0,24.89,3,17.42,4.8,4.5
ride_177,18.987159427753504,72.95948224093236,18.94534235281065,73.02459673805853,8.28,19,1,5,21.75,2,18.49,4.8,4.4
ride_178,19.037217334215224,72.83191262856708,19.121498230233385,72.89233370032548,11.32,4,0,6,19.46,1,19.46,4.9,4.9
ride_179,19.156679693861552,72.7974264111266,19.060149023532922,72.90863385860791,15.87,1,0,1,24.35,1,24.35,4.9,4.7
ride_180,18.937313068062057,72.85424026334093,18.968516827989156,72.75722577421334,10.78,9,1,4,27.93,3,19.55,3.9,4.1
ride_181,19.050572854974973,72.91342652500532,19.142772592934204,72.83135320294977,13.4,8,1,1,34.94,4,19.22,4.2,4.8
ride_182,19.112414128164847,72.8739782096428,19.16678135335803,72.80379605070556,9.53,7,0,1,14.87,3,10.41,4.5,4.2
ride_183,19.027649942235147,72.85203451312039,18.947678951518263,72.96357568404834,14.72,3,0,6,24.81,2,21.09,4.8,4.8
ride_184,19.06595369242652,73.00142178768269,19.021572577940336,72.93792021353686,8.3,15,0,4,14.41,1,14.41,3.6,4.1
ride_185,18.93472492872627,72.76646216285891,18.817724701073715,72.66690866549376,16.7,16,0,0,28.35,1,28.35,5.0,4.8
ride_186,19.074136153400353,72.94912774119958,19.053611535499126,72.9000486592906,5.64,6,0,0,9.97,1,9.97,4.0,4.3
ride_187,19.00369071131502,72.98616577798579,19.050688810079574,73.02405128326157,6.57,8,1,0,19.37,1,19.37,3.8,4.2
ride_188,19.1424804546412,73.0252455673593,19.24489079204254,73.0043562149682,11.6,0,0,3,17.66,1,17.66,3.9,4.2
ride_189,19.05971595866114,72.83694601334763,19.163972701971748,72.80747324585136,12.0,17,1,3,30.17,2,25.65,3.8,4.5
ride_190,19.139498445615992,72.96883436685266,19.05453464466531,72.86434122201531,14.48,9,1,1,38.0,1,38.0,4.1,4.2
ride_191,19.176418630482566,73.00735538598576,19.282440822985972,73.04822716356787,12.55,23,0,3,20.91,1,20.91,4.5,4.4
ride_192,19.117539550211102,72.90253142870873,19.029183519310944,72.8319464374032,12.31,20,1,3,29.04,1,29.04,3.5,4.1
ride_193,19.12265950093009,73.01282285299365,19.049576855507684,72.93157211160931,11.79,13,0,2,21.0,3,14.7,4.0,4.9
ride_194,19.162978116786288,72.8828458087301,19.128229353991657,72.78591359202996,10.89,0,0,0,19.83,4,10.91,4.6,4.2
ride_195,18.932681572468013,72.827434899935,18.852116882980386,72.90780645249883,12.32,0,0,6,19.97,1,19.97,3.9,4.7
ride_196,19.058812461805225,72.99409895989405,19.132739330323275,73.0202350160222,8.67,15,0,2,13.86,1,13.86,4.5,4.4
ride_197,18.945170399651158,72.96005465723125,18.980866991505838,73.06736607740721,11.96,14,0,0,20.74,4,11.41,3.8,4.3
ride_198,19.095816123484095,72.93327230370049,19.196169760612758,73.05276926310587,16.8,7,0,0,24.59,1,24.59,3.8,4.7
ride_199,19.01685000795801,72.73222175650088,19.116158096023426,72.65130662576532,13.94,22,0,0,21.25,2,18.07,4.4,4.2
ride_200,19.167512338704615,72.83847399253816,19.19265364973033,72.91417528055423,8.43,8,1,5,23.7,3,16.59,4.9,4.0
ride_201,19.007516055896684,72.78265637241286,18.977863179193783,72.86478584136627,9.24,1,0,2,14.57,2,12.38,3.7,4.2
ride_202,18.966082452825383,72.86539451670302,19.051912987545006,72.97090197727209,14.63,14,0,0,24.59,1,24.59,3.6,4.7
ride_203,18.997873467550995,72.85062097189054,19.108212956426023,72.89064425925586,12.97,1,0,6,20.07,2,17.06,3.6,4.2
ride_204,19.142240399455126,72.86673732273096,19.077779471431615,72.84396427773775,7.56,12,0,2,14.49,1,14.49,4.7,4.9
ride_205,19.12612174192465,72.85224595289472,19.02424476569085,72.8087122171693,12.22,19,1,4,29.98,2,25.48,4.2,4.5
ride_206,19.056060232536986,72.74747407152378,19.150001870462482,72.7865936459485,11.23,15,0,5,17.89,1,17.89,4.4,4.0
ride_207,19.060755100119078,72.91216169396878,19.083451964551198,72.88660177448156,3.69,3,0,1,7.55,2,6.41,3.7,5.0
ride_208,19.08926006899691,72.8863223038163,19.04326217248099,72.94480580243096,8.0,4,0,3,14.35,2,12.2,3.5,4.9
ride_209,18.97613243565492,73.0236515093011,18.889408886386388,72.98138402748363,10.62,8,1,5,26.53,2,22.55,4.0,5.0
ride_210,19.029593160374862,72.77550506567292,18.930553507862037,72.65863980178929,16.5,4,0,0,28.61,1,28.61,4.6,4.9
ride_211,18.960784535436133,73.02548787880217,18.930807707475708,72.97204441709668,6.53,5,0,0,12.96,1,12.96,4.9,4.9
